0,1,2,3,4,5
2943960,0.0023997042600589174,5,2019-10-13,True,True
2947701,0.784660646637096,5,2019-10-16,False,True
2947700,0.2892552163537616,5,2019-10-16,False,True
2947702,0.0,5,2019-10-16,False,True
2948662,0.0,5,2019-10-17,False,True
2948663,0.35104146209667564,5,2019-10-17,False,True
2948667,0.17511920123609312,5,2019-10-17,False,True
2948666,0.0,5,2019-10-17,False,True
2948669,0.16828509041182016,5,2019-10-17,False,True
2948664,0.0,5,2019-10-17,False,True
2950803,,4,2019-10-19,False,False
2950806,,5,2019-10-19,False,False
2953558,,5,2019-10-20,True,False
2953557,,5,2019-10-20,True,False
2953559,,5,2019-10-20,True,False
2953561,,5,2019-10-20,True,False
2953564,,5,2019-10-20,True,False
2953563,,5,2019-10-20,True,False
2950807,1.098880302741559,5,2019-10-21,False,True
2954906,1.0626968591488128,5,2019-10-21,False,True
2961961,0.0,4,2019-10-26,False,True
2961962,0.0,5,2019-10-26,False,True
2961965,0.5946543146907143,4,2019-10-26,False,True
2963961,0.0,5,2019-10-26,False,True
2964066,,5,2019-10-27,True,False
2964071,,5,2019-10-27,True,False
2964069,,5,2019-10-27,True,False
2964070,,5,2019-10-27,True,False
2964073,,5,2019-10-27,True,False
2961964,,5,2019-10-27,True,False
2968022,0.0002822944769596553,5,2019-10-30,False,True
2968024,1.0091105086666022e-05,4,2019-10-30,False,True
2968023,1.030458704309935,5,2019-10-30,False,True
2969204,0.4892409383344626,4,2019-10-31,False,True
2969207,0.41148774020014367,5,2019-10-31,False,True
2969206,0.4359461694829105,4,2019-10-31,False,True
2969210,0.0,5,2019-10-31,False,True
2969211,0.5589727761797355,5,2019-10-31,False,True
2970332,0.0,5,2019-11-01,False,True
2970331,0.0,5,2019-11-01,False,True
2971944,0.0,4,2019-11-02,False,True
2971948,0.07951894234125115,5,2019-11-02,False,True
2971947,0.9265959795272796,5,2019-11-02,False,True
2974330,0.018201428643334763,5,2019-11-03,False,True
2974333,0.03751142302979771,5,2019-11-03,False,True
2974336,0.9701182111191552,5,2019-11-03,False,True
2974335,0.05019047683644816,4,2019-11-03,False,True
2974339,0.0,4,2019-11-03,False,True
2974340,0.03068931076733148,5,2019-11-03,False,True
2974341,0.0,4,2019-11-03,False,True
2977924,1.012094870176038,5,2019-11-06,False,True
2977923,0.0017910547567676596,5,2019-11-06,False,True
2977925,0.002674112285085573,5,2019-11-07,True,True
2977928,0.0,4,2019-11-07,True,True
2977927,0.0018906551472874919,5,2019-11-07,True,True
2977926,0.0015951132860863213,5,2019-11-07,True,True
2979269,0.1510590006930412,5,2019-11-07,True,True
2979270,0.4960797287527702,5,2019-11-07,True,True
2979271,1.1083378991448773,5,2019-11-07,True,True
2981424,0.9584606352428668,5,2019-11-09,False,True
2981426,0.0,5,2019-11-09,False,True
2983652,0.0,5,2019-11-10,True,True
2983651,0.0,5,2019-11-10,True,True
2983653,0.46526361103387853,5,2019-11-10,True,True
2983655,0.7879111815621506,5,2019-11-10,True,True
2983657,0.0,5,2019-11-10,True,True
2983658,0.25214696446740065,5,2019-11-10,True,True
2983656,0.0,5,2019-11-10,True,True
2991097,0.47622756971326397,5,2019-11-16,False,True
2991098,0.0,5,2019-11-16,False,True
2992795,0.21496915784690124,5,2019-11-17,False,True
2992793,0.09123848292275784,5,2019-11-17,False,True
2992794,0.2709860231688369,5,2019-11-17,False,True
2992797,0.0,5,2019-11-17,False,True
2992796,0.0,4,2019-11-17,False,True
2992792,0.8684615353542959,5,2019-11-17,False,True
2994602,0.49699810690311,5,2019-11-18,False,True
2994603,0.7250884809013062,5,2019-11-18,False,True
3002511,0.2663156534188605,5,2019-11-24,True,True
3002515,0.2956637972045634,5,2019-11-24,True,True
3002513,0.15323153728905137,3,2019-11-24,True,True
3002517,0.0,4,2019-11-24,True,True
3002514,0.17122252777854863,5,2019-11-24,True,True
3002518,0.3871540676768547,5,2019-11-24,True,True
3002519,0.0,5,2019-11-24,True,True
3002520,0.38601756629222395,5,2019-11-24,True,True
3006664,0.13622467807631605,5,2019-11-27,False,True
3006665,0.5943785653981801,5,2019-11-27,False,True
3007956,0.0,4,2019-11-28,True,True
3007957,0.17903402718917114,4,2019-11-28,True,True
3007959,0.15806444073009362,5,2019-11-28,True,True
3007958,0.09662272454492507,5,2019-11-28,True,True
3007960,1.039283318277581,5,2019-11-28,True,True
3007962,0.10260604573387191,4,2019-11-28,True,True
3007961,0.23984221434263947,5,2019-11-28,True,True
3010528,0.9279672293179407,5,2019-11-30,False,True
3010529,0.0,5,2019-11-30,False,True
3013364,0.17850723174461838,5,2019-12-01,True,True
3013359,0.12341409613643244,5,2019-12-01,True,True
3013360,0.33874120386798573,5,2019-12-01,True,True
3013363,0.0,5,2019-12-01,True,True
3013362,0.1377431867940548,5,2019-12-01,True,True
3013366,0.0,5,2019-12-01,True,True
3013365,0.0,5,2019-12-01,True,True
3017441,0.48898426836756237,5,2019-12-04,False,True
3017446,0.28083823865849883,5,2019-12-04,False,True
3017445,0.5860489260549346,5,2019-12-04,False,True
3017439,0.10296220181995618,4,2019-12-05,True,True
3017438,0.19990270970001528,5,2019-12-05,True,True
3017443,0.10229316869278073,4,2019-12-05,True,True
3017440,0.0,5,2019-12-05,True,True
3017447,0.1606124553460953,5,2019-12-05,True,True
3017444,0.0,5,2019-12-05,True,True
3017442,0.3557815631963853,5,2019-12-05,True,True
3022754,0.08893003606881411,5,2019-12-08,True,True
3022755,0.08366528973778972,5,2019-12-08,True,True
3022758,0.04616955300502578,5,2019-12-08,True,True
3022760,0.0,4,2019-12-08,True,True
3022762,0.04905702790316424,5,2019-12-08,True,True
3022759,0.0647244857255517,4,2019-12-08,True,True
3022753,0.6350484422220493,5,2019-12-08,True,True
3022761,0.0,5,2019-12-08,True,True
3022757,0.07893725864254314,5,2019-12-08,True,True
3022756,0.05909797443492289,5,2019-12-08,True,True
4698245,0.5722401983035519,5,2020-08-08,False,True
4698244,0.0,5,2020-08-08,False,True
4698243,0.0004096912819789028,5,2020-08-09,False,True
4698237,1.0068159600368916,5,2020-08-09,False,True
4698240,0.0030504742134708357,5,2020-08-09,False,True
4698242,0.0,5,2020-08-09,False,True
4698254,0.0561027017892777,5,2020-08-12,True,True
